Account Number,Suite,House Number,Street Name,Assessed Value,Assessment Class,Neighbourhood ID,Neighbourhood,Ward,Garage,Latitude,Longitude
8392904,,9035,90 STREET NW,352500,Residential,6040,BONNIE DOON,Ward 8,Y,53.5263619,-113.4649347
,,,,,,,,,,,
10063906,,1535,37B AVENUE NW,382500,Residential,6443,TAMARACK,Ward 11,Y,53.47351634,
4252557,,8409,156 AVENUE NW,348000,Residential,2050,BELLE RIVE,Ward 3,Y,53.6162074,-113.4723031
10512253,,7046,NEWSON ROAD NW,168000,Residential,3111,GRIESBACH,Ward 2,N,53.60898896,-113.513399
8855603,,7112,82 STREET NW,370500,Residential,6020,AVONMORE,Ward 11,Y,53.50712915,-113.4539021
10410275,,3828,POWELL WYND SW,437000,Residential,5469,PAISLEY,Ward 9,Y,53.4151759,-113.5636374
10023123,,1164,GOODWIN CIRCLE NW,587500,Residential,4720,GLASTONBURY,Ward 1,Y,53.49984362,-113.675315
3053329,,1043,105 STREET NW,415000,Residential,5030,BEARSPAW,Ward 11,Y,53.44114854,-113.4968919
8206575,,,,8500,Residential,5480,STRATHCONA,Ward 8,N,53.52670313,-113.4872565
10699523,,2104,27 STREET NW,522500,Residential,6444,LAUREL,Ward 12,Y,53.45122257,-113.3809081
8614349,,9704,67 AVENUE NW,2000,Non Residential,6290,HAZELDEAN,Ward 11,N,53.50416426,-113.479705
9059023,,10671,61 STREET NW,436000,Residential,6061,CAPILANO,Ward 8,Y,53.55269102,-113.4266149
10296444,,2704,AURUM ROAD NE,3019000,Non Residential,2160,CLOVER BAR AREA,Ward 7,N,53.59722007,-113.3059467
7325202,,7403,118A STREET NW,617500,Residential,5040,BELGRAVIA,Ward 8,Y,53.51051456,-113.5363328
7875495,,4016,120 STREET NW,520000,Residential,5020,ASPEN GARDENS,Ward 10,Y,53.47715608,-113.5415892
10092519,,,,14000,Residential,1090,DOWNTOWN,Ward 6,N,53.5343196,-113.5023887
